user	hotel
1	7
2	37
3	60
4	56
5	56
6	52
7	56
8	59
9	56
10	37
11	46
12	60
13	17
14	37
15	17
16	60
17	39
18	63
19	37
20	49
21	38
22	63
23	46
24	45
25	63
26	26
27	60
28	37
29	56
30	39
31	37
32	62
33	55
34	7
35	60
36	39
37	39
38	17
39	60
40	14
41	41
42	39
43	39
44	39
45	26
46	39
47	37
48	39
49	4
50	63
51	52
52	6
53	38
54	29
55	26
56	56
57	1
58	57
59	45
60	60
61	17
62	10
63	63
64	49
65	49
66	39
67	33
68	49
69	17
70	60
71	56
72	2
73	63
74	26
75	41
76	17
77	49
78	3
79	33
80	60
81	10
82	66
83	60
84	56
85	28
86	52
87	66
88	43
89	18
90	17
91	43
92	60
93	56
94	63
95	56
96	6
97	52
98	20
99	39
100	18
101	55
102	6
103	56
104	46
105	37
106	14
107	3
108	60
109	52
110	3
111	49
112	62
113	64
114	60
115	49
116	63
117	4
118	53
119	47
120	63
121	66
122	56
123	6
124	37
125	66
126	14
127	49
128	65
129	56
130	21
131	4
132	6
133	55
134	26
135	60
136	2
137	63
138	63
139	66
140	18
141	37
142	55
143	3
144	56
145	26
146	3
147	47
148	14
149	54
150	15
151	17
152	60
153	46
154	18
155	46
156	56
157	15
158	61
159	18
160	20
161	37
162	37
163	37
164	18
165	66
166	56
167	15
168	49
169	17
170	24
171	56
172	36
173	11
174	26
175	66
176	17
177	18
178	39
179	62
180	56
181	49
182	62
183	46
184	66
185	3
186	56
187	60
188	47
189	37
190	13
191	11
192	14
193	6
194	18
195	17
196	53
197	60
198	43
199	26
200	41
201	43
202	60
203	37
204	66
205	37
206	56
207	38
208	60
209	66
210	60
211	7
212	37
213	60
214	46
215	17
216	56
217	24
218	6
219	60
220	60
221	56
222	7
223	57
224	60
225	60
226	17
227	14
228	60
229	17
230	17
231	37
232	39
233	55
234	37
235	6
236	18
237	60
238	3
239	28
240	17
241	26
242	53
243	56
244	62
245	56
246	60
247	37
248	46
249	15
250	25
251	39
252	66
