user	hotel
1	42
2	16
3	18
4	62
5	17
6	61
7	60
8	48
9	19
10	52
11	60
12	6
13	32
14	31
15	60
16	22
17	35
18	44
19	22
20	39
21	7
22	64
23	41
24	63
25	61
26	6
27	52
28	23
29	66
30	20
31	54
32	18
33	66
34	54
35	51
36	43
37	54
38	27
39	2
40	24
41	15
42	9
43	45
44	44
45	60
46	11
47	18
48	58
49	66
50	60
51	17
52	8
53	42
54	39
55	25
56	16
57	5
58	21
59	39
60	18
61	2
62	3
63	33
64	13
65	37
66	27
67	28
68	30
69	41
70	2
71	7
72	50
73	48
74	28
75	8
76	19
77	43
78	39
79	18
80	7
81	31
82	66
83	17
84	25
85	23
86	46
87	46
88	65
89	29
90	9
91	43
92	43
93	62
94	7
95	37
96	46
97	50
98	13
99	45
100	15
101	40
102	17
103	42
104	24
105	26
106	56
107	13
108	27
109	66
110	55
111	18
112	17
113	25
114	38
115	62
116	22
117	9
118	31
119	3
120	33
121	61
122	3
123	40
124	42
125	2
126	31
127	27
128	14
129	63
130	20
131	6
132	58
133	27
134	65
135	41
136	7
137	48
138	53
139	66
140	8
141	50
142	11
143	3
144	27
145	29
146	36
147	52
148	5
149	16
150	64
151	18
152	51
153	53
154	48
155	37
156	38
157	49
158	41
159	45
160	21
161	52
162	15
163	54
164	14
165	60
166	18
167	44
168	27
169	63
170	41
171	63
172	13
173	21
174	21
175	38
176	64
177	45
178	6
179	13
180	21
181	60
182	40
183	61
184	60
185	46
186	12
187	56
188	46
189	49
190	43
191	55
192	4
193	43
194	60
195	6
196	62
197	61
198	52
199	16
200	34
201	61
202	49
203	41
204	59
205	1
206	35
207	28
208	40
209	17
210	21
211	12
212	38
213	14
214	3
215	20
216	51
217	33
218	21
219	45
220	60
221	46
222	37
223	2
224	5
225	43
226	36
227	31
228	60
229	35
230	3
231	27
232	48
233	41
234	60
235	7
236	54
237	59
238	36
239	30
240	66
241	23
242	40
243	30
244	45
245	53
246	12
247	15
248	43
249	60
250	54
251	39
252	46
253	11
254	35
255	21
256	42
257	17
258	23
259	1
260	42
261	16
262	65
263	45
264	21
265	46
266	46
267	61
268	32
269	54
270	64
271	37
272	10
273	47
274	9
275	65
276	58
277	46
278	51
279	52
280	16
281	33
282	31
283	42
284	17
285	58
286	46
287	11
288	40
289	41
290	56
291	64
292	35
293	54
294	37
295	55
296	10
297	39
298	18
299	28
300	5
301	6
302	56
303	66
304	8
305	54
306	24
307	30
308	36
309	53
310	66
311	52
312	64
313	25
314	44
315	63
316	54
317	36
318	14
319	17
320	41
321	13
322	35
323	56
324	52
325	16
326	22
327	41
328	32
329	48
330	65
331	43
332	52
333	50
334	20
335	18
336	26
337	54
338	61
339	16
340	4
341	22
342	42
343	12
344	5
345	61
346	18
347	65
348	66
349	14
350	35
351	15
352	22
353	60
354	49
355	21
356	41
357	18
358	3
359	14
360	53
361	10
362	19
363	13
364	6
365	18
366	30
367	42
368	57
369	12
370	12
371	4
372	9
373	35
374	60
375	27
376	44
377	31
378	39
379	45
380	42
381	40
382	36
383	40
384	36
385	2
386	17
387	27
388	52
389	21
390	45
391	22
392	8
393	54
394	36
395	24
396	61
397	66
398	53
399	39
400	49
401	41
402	34
403	66
404	52
405	48
406	33
407	34
408	60
409	22
410	58
411	30
412	17
413	28
414	20
415	27
416	42
417	21
418	15
419	56
420	15
421	7
422	44
423	56
424	55
425	40
426	64
427	66
428	42
429	43
430	52
431	5
432	51
433	45
434	41
435	45
436	18
437	48
438	21
439	43
440	34
441	45
442	41
443	42
444	26
445	32
446	42
447	54
448	44
449	54
450	51
451	41
452	40
453	4
454	51
455	58
456	22
457	45
458	32
459	11
460	48
461	36
462	22
463	32
464	23
465	17
466	61
467	17
468	64
469	17
470	27
471	27
472	31
473	60
474	63
475	43
476	64
477	51
478	27
479	48
480	49
481	63
482	56
483	2
484	40
485	51
486	50
487	49
488	51
489	56
490	64
491	22
492	24
493	53
494	60
495	63
496	48
497	32
498	58
499	34
500	34
501	59
502	61
503	31
504	37
505	60
506	58
507	16
508	34
509	44
510	7
511	34
512	31
513	39
514	32
515	64
516	44
517	38
518	63
519	2
520	3
521	40
522	22
523	19
524	2
525	41
526	50
527	22
528	34
529	24
530	31
531	41
532	13
533	8
534	49
535	53
536	5
537	37
538	37
539	2
540	60
541	48
542	38
543	20
544	11
545	27
546	25
547	6
548	15
549	1
550	21
551	35
552	43
553	60
554	45
555	32
556	48
557	1
558	52
559	19
560	58
561	20
562	33
563	25
564	43
565	55
566	56
567	64
568	40
569	3
570	43
571	13
572	5
573	50
574	56
575	23
576	37
577	14
578	30
579	29
580	18
581	25
582	56
583	48
584	55
585	40
586	57
587	42
588	14
589	43
590	33
591	8
592	40
593	51
594	4
595	50
596	26
597	15
598	50
599	46
600	6
601	32
602	46
603	20
604	63
605	5
606	18
607	20
608	16
609	63
610	5
611	32
612	41
613	35
614	52
615	36
616	30
617	22
618	33
619	20
620	59
621	58
622	58
623	51
624	44
625	29
626	66
627	2
628	61
629	61
630	56
631	17
632	48
633	14
634	19
635	45
636	54
637	9
638	43
639	45
640	64
641	3
642	46
643	33
644	3
645	10
646	41
647	56
648	17
649	65
650	42
651	55
652	54
653	29
654	63
655	47
656	24
657	20
658	50
659	13
660	46
661	44
662	43
663	13
664	26
665	50
666	15
667	28
668	35
669	17
670	44
671	21
672	43
673	54
674	8
675	43
676	43
677	62
678	64
679	10
680	15
681	26
682	22
683	31
684	26
685	6
686	40
687	66
688	65
689	28
690	62
691	50
692	47
693	39
694	47
695	29
696	51
697	16
698	12
699	28
700	37
701	34
702	60
703	14
704	57
705	27
706	34
707	18
708	44
709	42
710	56
711	16
712	48
713	4
714	50
715	44
716	53
717	61
718	8
719	55
720	52
721	44
722	33
723	54
724	27
725	6
726	60
727	23
728	26
729	35
730	49
731	14
732	21
733	60
734	5
735	26
736	61
737	9
738	51
739	5
740	43
741	39
742	42
743	25
744	34
745	11
746	3
747	48
748	20
749	41
750	48
751	31
752	28
753	52
754	1
755	62
756	9
757	2
758	31
759	7
760	29
761	44
762	22
763	5
764	32
765	20
766	54
767	51
768	8
769	55
770	41
771	61
772	18
773	22
774	1
775	36
776	57
777	38
778	51
779	33
780	54
781	33
782	43
783	48
784	31
785	31
786	8
787	64
788	34
789	1
790	25
791	45
792	14
793	32
794	20
795	31
796	37
797	3
798	38
799	32
800	30
801	34
802	36
803	18
804	12
805	54
806	64
807	65
808	46
809	36
810	19
811	38
812	4
813	6
814	46
815	5
816	23
817	36
818	23
819	40
820	63
821	12
822	42
823	40
824	43
825	48
826	51
827	51
828	23
829	44
830	33
831	5
832	17
833	17
834	13
835	48
836	13
837	35
838	61
839	24
840	20
841	49
842	44
843	22
844	25
845	37
846	47
847	57
848	5
849	30
850	56
851	47
852	59
853	39
854	6
855	17
856	59
857	35
858	18
859	11
860	48
861	19
862	33
863	44
864	36
865	18
866	6
867	9
868	41
869	65
870	7
871	9
872	37
873	11
874	56
875	1
876	38
877	9
878	10
879	3
880	50
881	35
882	39
883	46
884	7
885	54
886	7
887	51
888	58
889	40
890	6
891	20
892	1
893	63
894	35
895	17
896	35
897	4
898	24
899	20
900	19
901	34
902	8
903	52
904	62
905	61
906	62
907	53
908	9
909	37
910	20
911	30
912	44
913	28
914	52
915	30
916	21
917	12
918	19
919	33
920	55
921	25
922	45
923	2
924	14
925	17
926	25
927	51
928	10
929	62
930	61
931	54
932	10
933	17
934	18
935	32
936	26
937	29
938	38
939	27
940	4
941	16
942	51
943	66
944	41
945	35
946	18
947	45
948	35
949	7
950	45
951	49
952	28
953	65
954	59
955	20
956	30
957	4
958	19
959	34
960	66
961	64
962	57
963	20
964	26
965	29
966	12
967	38
968	29
969	17
970	38
971	66
972	40
